[1/5] リーダーボード取得: pokemon-tcg-ai-battle 上位200チーム (run_id=20260730T094742Z)
  (296/4000) episode 88913149 -> episode-88913149-replay.json
  (297/4000) episode 88913150 -> episode-88913150-replay.json
  (298/4000) episode 88913269 -> episode-88913269-replay.json
  (299/4000) episode 88913283 -> episode-88913283-replay.json
  (300/4000) episode 88913287 -> episode-88913287-replay.json
  (301/4000) episode 88913320 -> episode-88913320-replay.json
  (302/4000) episode 88913348 -> episode-88913348-replay.json
  (303/4000) episode 88913349 -> episode-88913349-replay.json
  (304/4000) episode 88913363 -> episode-88913363-replay.json
  (305/4000) episode 88913382 -> episode-88913382-replay.json
  (306/4000) episode 88913399 -> episode-88913399-replay.json
  (307/4000) episode 88913402 -> episode-88913402-replay.json
  (308/4000) episode 88913433 -> episode-88913433-replay.json
  (309/4000) episode 88913472 -> episode-88913472-replay.json
  (310/4000) episode 88913485 -> episode-88913485-replay.json
  (311/4000) episode 88913500 -> episode-88913500-replay.json
  (312/4000) episode 88913501 -> episode-88913501-replay.json
  (313/4000) episode 88913502 -> episode-88913502-replay.json
  (314/4000) episode 88913509 -> episode-88913509-replay.json
  (315/4000) episode 88913511 -> episode-88913511-replay.json
  (316/4000) episode 88913513 -> episode-88913513-replay.json
  (317/4000) episode 88913515 -> episode-88913515-replay.json
  (318/4000) episode 88913520 -> episode-88913520-replay.json
  (319/4000) episode 88913523 -> episode-88913523-replay.json
  (320/4000) episode 88913527 -> episode-88913527-replay.json
  (321/4000) episode 88913546 -> episode-88913546-replay.json
  (322/4000) episode 88913548 -> episode-88913548-replay.json
  (323/4000) episode 88913569 -> episode-88913569-replay.json
  (324/4000) episode 88913580 -> episode-88913580-replay.json
  (325/4000) episode 88913584 -> episode-88913584-replay.json
  (326/4000) episode 88913626 -> episode-88913626-replay.json
  (327/4000) episode 88913629 -> episode-88913629-replay.json
  (328/4000) episode 88913649 -> episode-88913649-replay.json
  (329/4000) episode 88913661 -> episode-88913661-replay.json
  (330/4000) episode 88913665 -> episode-88913665-replay.json
  (331/4000) episode 88913720 -> episode-88913720-replay.json
  (332/4000) episode 88913734 -> episode-88913734-replay.json
  (333/4000) episode 88913741 -> episode-88913741-replay.json
  (334/4000) episode 88913750 -> episode-88913750-replay.json
  (335/4000) episode 88913762 -> episode-88913762-replay.json
  (336/4000) episode 88913781 -> episode-88913781-replay.json
  (337/4000) episode 88913816 -> episode-88913816-replay.json
  (338/4000) episode 88913841 -> episode-88913841-replay.json
  (339/4000) episode 88913842 -> episode-88913842-replay.json
  (340/4000) episode 88913855 -> episode-88913855-replay.json
  (341/4000) episode 88913902 -> episode-88913902-replay.json
  (342/4000) episode 88913906 -> episode-88913906-replay.json
  (343/4000) episode 88913909 -> episode-88913909-replay.json
  (344/4000) episode 88913911 -> episode-88913911-replay.json
  (345/4000) episode 88913924 -> episode-88913924-replay.json
  (346/4000) episode 88913933 -> episode-88913933-replay.json
  (347/4000) episode 88913936 -> episode-88913936-replay.json
  (348/4000) episode 88913944 -> episode-88913944-replay.json
  (349/4000) episode 88913946 -> episode-88913946-replay.json
  (350/4000) episode 88913955 -> episode-88913955-replay.json
  (351/4000) episode 88913987 -> episode-88913987-replay.json
  (352/4000) episode 88913996 -> episode-88913996-replay.json
  (353/4000) episode 88913999 -> episode-88913999-replay.json
  (354/4000) episode 88914012 -> episode-88914012-replay.json
  (355/4000) episode 88914020 -> episode-88914020-replay.json
  (356/4000) episode 88914068 -> episode-88914068-replay.json
  (357/4000) episode 88914073 -> episode-88914073-replay.json
  (358/4000) episode 88914075 -> episode-88914075-replay.json
  (359/4000) episode 88914077 -> episode-88914077-replay.json
  (360/4000) episode 88914086 -> episode-88914086-replay.json
  (361/4000) episode 88914089 -> episode-88914089-replay.json
  (362/4000) episode 88914187 -> episode-88914187-replay.json
  (363/4000) episode 88914188 -> episode-88914188-replay.json
  (364/4000) episode 88914206 -> episode-88914206-replay.json
  (365/4000) episode 88914217 -> episode-88914217-replay.json
  (366/4000) episode 88914221 -> episode-88914221-replay.json
  (367/4000) episode 88914240 -> episode-88914240-replay.json
  (368/4000) episode 88914250 -> episode-88914250-replay.json
  (369/4000) episode 88914264 -> episode-88914264-replay.json
  (370/4000) episode 88914271 -> episode-88914271-replay.json
  (371/4000) episode 88914292 -> episode-88914292-replay.json
  (372/4000) episode 88914304 -> episode-88914304-replay.json
  (373/4000) episode 88914324 -> episode-88914324-replay.json
  (374/4000) episode 88914345 -> episode-88914345-replay.json
  (375/4000) episode 88914349 -> episode-88914349-replay.json
  (376/4000) episode 88914351 -> episode-88914351-replay.json
  (377/4000) episode 88914355 -> episode-88914355-replay.json
  (378/4000) episode 88914362 -> episode-88914362-replay.json
  (379/4000) episode 88914373 -> episode-88914373-replay.json
  (380/4000) episode 88914395 -> episode-88914395-replay.json
  (381/4000) episode 88914411 -> episode-88914411-replay.json
  (382/4000) episode 88914414 -> episode-88914414-replay.json
  (383/4000) episode 88914415 -> episode-88914415-replay.json
  (384/4000) episode 88914438 -> episode-88914438-replay.json
  (385/4000) episode 88914445 -> episode-88914445-replay.json
  (386/4000) episode 88914448 -> episode-88914448-replay.json
  (387/4000) episode 88914449 -> episode-88914449-replay.json
  (388/4000) episode 88914455 -> episode-88914455-replay.json
  (389/4000) episode 88914479 -> episode-88914479-replay.json
  (390/4000) episode 88914483 -> episode-88914483-replay.json
  (391/4000) episode 88914524 -> episode-88914524-replay.json
  (392/4000) episode 88914531 -> episode-88914531-replay.json
  (393/4000) episode 88914549 -> episode-88914549-replay.json
  (394/4000) episode 88914554 -> episode-88914554-replay.json
  (395/4000) episode 88914555 -> episode-88914555-replay.json
  (396/4000) episode 88914562 -> episode-88914562-replay.json
  (397/4000) episode 88914566 -> episode-88914566-replay.json
  (398/4000) episode 88914584 -> episode-88914584-replay.json
  (399/4000) episode 88914644 -> episode-88914644-replay.json
  (400/4000) episode 88914650 -> episode-88914650-replay.json
  (401/4000) episode 88914666 -> episode-88914666-replay.json
  (402/4000) episode 88914696 -> episode-88914696-replay.json
  (403/4000) episode 88914698 -> episode-88914698-replay.json
  (404/4000) episode 88914707 -> episode-88914707-replay.json
  (405/4000) episode 88914718 -> episode-88914718-replay.json
  (406/4000) episode 88914724 -> episode-88914724-replay.json
  (407/4000) episode 88914730 -> episode-88914730-replay.json
  (408/4000) episode 88914737 -> episode-88914737-replay.json
  (409/4000) episode 88914740 -> episode-88914740-replay.json
  (410/4000) episode 88914747 -> episode-88914747-replay.json
  (411/4000) episode 88914790 -> episode-88914790-replay.json
  (412/4000) episode 88914811 -> episode-88914811-replay.json
  (413/4000) episode 88914816 -> episode-88914816-replay.json
  (414/4000) episode 88914826 -> episode-88914826-replay.json
  (415/4000) episode 88914830 -> episode-88914830-replay.json
  (416/4000) episode 88914840 -> episode-88914840-replay.json
  (417/4000) episode 88914850 -> episode-88914850-replay.json
  (418/4000) episode 88914876 -> episode-88914876-replay.json
  (419/4000) episode 88914879 -> episode-88914879-replay.json
  (420/4000) episode 88914915 -> episode-88914915-replay.json
  (421/4000) episode 88914936 -> episode-88914936-replay.json
  (422/4000) episode 88914937 -> episode-88914937-replay.json
  (423/4000) episode 88914948 -> episode-88914948-replay.json
  (424/4000) episode 88914957 -> episode-88914957-replay.json
  (425/4000) episode 88914964 -> episode-88914964-replay.json
  (426/4000) episode 88914976 -> episode-88914976-replay.json
  (427/4000) episode 88914977 -> episode-88914977-replay.json
  (428/4000) episode 88914994 -> episode-88914994-replay.json
  (429/4000) episode 88915016 -> episode-88915016-replay.json
  (430/4000) episode 88915027 -> episode-88915027-replay.json
  (431/4000) episode 88915080 -> episode-88915080-replay.json
  (432/4000) episode 88915091 -> episode-88915091-replay.json
  (433/4000) episode 88915105 -> episode-88915105-replay.json
  (434/4000) episode 88915134 -> episode-88915134-replay.json
  (435/4000) episode 88915137 -> episode-88915137-replay.json
  (436/4000) episode 88915144 -> episode-88915144-replay.json
  (437/4000) episode 88915172 -> episode-88915172-replay.json
  (438/4000) episode 88915188 -> episode-88915188-replay.json
  (439/4000) episode 88915190 -> episode-88915190-replay.json
  (440/4000) episode 88915203 -> episode-88915203-replay.json
  (441/4000) episode 88915205 -> episode-88915205-replay.json
  (442/4000) episode 88915208 -> episode-88915208-replay.json
  (443/4000) episode 88915217 -> episode-88915217-replay.json
  (444/4000) episode 88915239 -> episode-88915239-replay.json
  (445/4000) episode 88915255 -> episode-88915255-replay.json
  (446/4000) episode 88915279 -> episode-88915279-replay.json
  (447/4000) episode 88915283 -> episode-88915283-replay.json
  (448/4000) episode 88915299 -> episode-88915299-replay.json
  (449/4000) episode 88915307 -> episode-88915307-replay.json
  (450/4000) episode 88915310 -> episode-88915310-replay.json
  (451/4000) episode 88915323 -> episode-88915323-replay.json
  (452/4000) episode 88915345 -> episode-88915345-replay.json
  (453/4000) episode 88915366 -> episode-88915366-replay.json
  (454/4000) episode 88915372 -> episode-88915372-replay.json
  (455/4000) episode 88915380 -> episode-88915380-replay.json
  (456/4000) episode 88915388 -> episode-88915388-replay.json
  (457/4000) episode 88915390 -> episode-88915390-replay.json
  (458/4000) episode 88915417 -> episode-88915417-replay.json
  (459/4000) episode 88915418 -> episode-88915418-replay.json
  (460/4000) episode 88915424 -> episode-88915424-replay.json
  (461/4000) episode 88915440 -> episode-88915440-replay.json
  (462/4000) episode 88915459 -> episode-88915459-replay.json
  (463/4000) episode 88915464 -> episode-88915464-replay.json
  (464/4000) episode 88915528 -> episode-88915528-replay.json
  (465/4000) episode 88915560 -> episode-88915560-replay.json
  (466/4000) episode 88915566 -> episode-88915566-replay.json
  (467/4000) episode 88915578 -> episode-88915578-replay.json
  (468/4000) episode 88915586 -> episode-88915586-replay.json
  (469/4000) episode 88915601 -> episode-88915601-replay.json
  (470/4000) episode 88915612 -> episode-88915612-replay.json
  (471/4000) episode 88915635 -> episode-88915635-replay.json
  (472/4000) episode 88915641 -> episode-88915641-replay.json
  (473/4000) episode 88915643 -> episode-88915643-replay.json
  (474/4000) episode 88915655 -> episode-88915655-replay.json
  (475/4000) episode 88915687 -> episode-88915687-replay.json
  (476/4000) episode 88915688 -> episode-88915688-replay.json
  (477/4000) episode 88915719 -> episode-88915719-replay.json
  (478/4000) episode 88915732 -> episode-88915732-replay.json
  (479/4000) episode 88915744 -> episode-88915744-replay.json
  (480/4000) episode 88915756 -> episode-88915756-replay.json
  (481/4000) episode 88915783 -> episode-88915783-replay.json
  (482/4000) episode 88915801 -> episode-88915801-replay.json
  (483/4000) episode 88915803 -> episode-88915803-replay.json
